Index,Task,Dataset,Method,Pred_Labels_Accuracy,Pred_Series_MAE,Pred_Labels_F1Score,Pred_Labels_AUC,Pred_Labels_Len,Pred_Labels_Truth_Len,HistLen,Pred_Series_Len,Pred_Series_Truth_Len,Pred_Labels,Pred_Labels_Truth,Pred_Series,Pred_Series_Truth
16,UNDERSTANDING,TSQA,StreamTS-Agents,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
17,UNDERSTANDING,TSQA,Window,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
18,UNDERSTANDING,TSQA,Inf-LLM,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
19,UNDERSTANDING,TSQA,StreamTS-Agents,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
20,UNDERSTANDING,TSQA,Window,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
21,UNDERSTANDING,TSQA,Inf-LLM,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
22,UNDERSTANDING,TSQA,StreamTS-Agents,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
23,UNDERSTANDING,TSQA,Window,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
24,UNDERSTANDING,TSQA,Inf-LLM,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
25,UNDERSTANDING,TSQA,StreamTS-Agents,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
26,UNDERSTANDING,TSQA,Inf-LLM,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
27,UNDERSTANDING,TSQA,StreamTS-Agents,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
28,UNDERSTANDING,TSQA,StreamTS-Agents,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
29,UNDERSTANDING,TSQA,StreamTS-Agents,0.0,0.0,0.0,0.0,0,8,2560,0,0,[],"['sudden spike outlier', 'level shift outlier', 'fixed seasonal', 'shifting seasonal', 'upward trend', 'downward trend', 'increased volatility', 'decreased volatility']",[],[]
